system.index,AREA_KM2,CD_MUN,CD_UF,NM_MUN,NM_REGIAO,NM_UF,SIGLA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Bioma
0001000000000000049a,7067.127,1100015,11,Alta Floresta D'Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0001000000000000049b,4426.571,1100023,11,Ariquemes,Norte,Rondônia,RO,5.472167877,5.384074603,5.384074603,5.384074603,6.441202638,6.451220936,7.31142073,7.31142073,9.4633328,9.4633328,9.488897484,10.30835572,10.57298511,10.57298511,10.69562705,10.69562705,10.69597253,11.71442119,11.71442119,12.1403867,12.19151656,12.19669856,12.38981242,12.38981242,12.40155846,12.41226805,12.92976934,13.20752294,13.71778292,13.71778292,13.80138678,13.80138678,13.95511536,14.87716896,14.87716896,14.87716896,14.9082678,Amazônia
0001000000000000049c,1314.352,1100031,11,Cabixi,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0001000000000000049d,3793,1100049,11,Cacoal,Norte,Rondônia,RO,0.7955218022,0.7955218022,1.496845647,1.57763506,1.588292398,1.588292398,2.104361055,2.105048682,2.105048682,2.105048682,2.162121665,2.162121665,2.238794193,2.238794193,2.238794193,2.617336699,2.617336699,2.796465008,2.879326195,2.879326195,2.879326195,2.967342642,3.206987276,3.299465562,7.839001854,7.926677209,8.375368708,8.563780208,9.011767921,9.013831181,12.68132526,13.12793925,15.25639002,15.4767569,16.18291771,16.19426254,17.17233568,Amazônia
0001000000000000049e,2783.3,1100056,11,Cerejeiras,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0001000000000000049f,1451.06,1100064,11,Colorado do Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004a0,3060.321,1100072,11,Corumbiara,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004a1,4987.177,1100080,11,Costa Marques,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004a2,4518.038,1100098,11,Espigão D'Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004a3,24856.877,1100106,11,Guajará-Mirim,Norte,Rondônia,RO,19.61727115,31.4562581,32.09229449,32.47889316,33.46087562,33.48223997,34.29543714,35.80570997,36.24642825,36.24711735,36.24711735,38.53231806,61.73177397,64.79573257,65.0875798,65.26331168,65.44387691,66.37007728,66.8093825,70.21656014,70.65586772,70.56800063,70.56800063,71.00733295,71.4466668,71.53453159,72.40900276,72.76046929,73.63911272,74.07841134,74.07841134,74.69341815,74.95907358,75.68917844,75.86491132,76.1284854,76.91920832,Amazônia
